row_id,year,cgpa,hostel_stay,hostel_block,roommates,study_loc
0,1,7.07,Yes,HB1,2.0,Room (even friend's room)
1,1,6.7,Yes,HB1,3.0,Room (even friend's room)
2,1,7.0,Yes,HB1,2.0,Room (even friend's room)
3,1,6.12,Yes,HB4,1.0,Room (even friend's room)
4,1,8.86,Yes,HB1,3.0,Room (even friend's room)
5,1,8.69,Yes,HB4,2.0,Room (even friend's room)
6,1,7.6,Yes,HB1,2.0,Room (even friend's room)
7,1,8.8,Yes,HB4,0.0,Room (even friend's room)
8,1,8.81,Yes,HB1,3.0,Room (even friend's room)
9,1,8.98,Yes,HB1,2.0,Room (even friend's room)
10,1,6.0,Yes,HB1,3.0,Room (even friend's room)
11,1,7.9,Yes,HB1,2.0,Room (even friend's room)
12,1,8.8,Yes,HB2,2.0,Room (even friend's room)
13,1,7.3,Yes,HB1,2.0,Room (even friend's room)
14,1,7.15,Yes,HB1,2.0,Room (even friend's room)
15,1,7.5,Yes,HB3,1.0,Library
16,1,7.0,Yes,HB3,1.0,Room (even friend's room)
17,1,9.33,Yes,HB3,1.0,Room (even friend's room)
18,1,8.3,Yes,HB3,1.0,Room (even friend's room)
19,1,7.14,Yes,HBO3,1.0,Room (even friend's room)
20,1,9.19,Yes,HB4,1.0,Room (even friend's room)
21,1,7.2,Yes,HB2,1.0,Room (even friend's room)
22,1,6.5,Yes,HB3,1.0,Room (even friend's room)
23,1,6.21,Yes,HB4,3.0,Room (even friend's room)
24,1,7.4,Yes,HB3,1.0,Common Room
25,1,7.9,Yes,HB3,1.0,Room (even friend's room)
26,1,8.0,Yes,HB3,1.0,Library
27,1,7.71,Yes,HB4,1.0,Room (even friend's room)
28,1,8.45,Yes,HB4,1.0,Campus
29,1,8.69,Yes,HB1,3.0,Common Room
30,1,7.0,Yes,HB1,2.0,Room (even friend's room)
31,1,7.52,Yes,HB1,2.0,Room (even friend's room)
32,1,8.0,Yes,HB3,1.0,Common Room
33,1,,No,,,
34,1,7.7,Yes,HB2,2.0,Room (even friend's room)
35,1,7.6,Yes,HB1,3.0,Room (even friend's room)
36,1,8.0,Yes,HBO3,1.0,Room (even friend's room)
37,1,8.14,Yes,HBO3,1.0,Room (even friend's room)
38,1,8.76,Yes,HB4,3.0,Room (even friend's room)
39,1,7.04,Yes,HB1,3.0,Room (even friend's room)
40,1,7.5,Yes,HB2,2.0,Room (even friend's room)
41,1,7.83,Yes,HB2,3.0,Room (even friend's room)
42,1,6.91,Yes,HBO1,2.0,Room (even friend's room)
43,1,9.3,Yes,HB1,1.0,library and room both
44,1,6.45,Yes,HB1,2.0,Room (even friend's room)
45,1,,No,,,
46,1,8.21,Yes,HB2,1.0,Room (even friend's room)
47,1,8.5,Yes,HB1,3.0,Room (even friend's room)
48,1,6.1,Yes,HB1,2.0,Room (even friend's room)
49,1,7.38,Yes,HB3,1.0,Room (even friend's room)
50,1,7.45,Yes,HB3,0.0,Room (even friend's room)
51,1,7.1,Yes,HB1,2.0,Room (even friend's room)
52,1,9.57,Yes,HB3,1.0,Room (even friend's room)
53,1,8.6,Yes,HB1,3.0,Room (even friend's room)
54,1,8.17,Yes,HB4,1.0,Room (even friend's room)
55,1,7.03,Yes,HBO1,2.0,Room (even friend's room)
56,1,,No,,,
57,1,8.1,Yes,HB2,2.0,Room (even friend's room)
58,1,7.7,Yes,HB1,2.0,Room (even friend's room)
59,1,8.9,Yes,HB3,1.0,Room (even friend's room)
60,1,7.0,Yes,HB1,3.0,Room (even friend's room)
61,1,8.1,Yes,HB3,1.0,Room (even friend's room)
62,1,3.9,Yes,HB4,1.0,Room (even friend's room)
63,1,7.2,Yes,HB4,2.0,Common Room
64,1,9.31,Yes,HB3,3.0,Room (even friend's room)
65,1,8.96,Yes,HB1,3.0,Library
66,1,8.88,Yes,HB3,1.0,Common Room
67,1,7.3,Yes,HB1,3.0,Room (even friend's room)
68,1,8.55,Yes,HB2,3.0,Room (even friend's room)
69,1,9.38,Yes,HB2,3.0,Room (even friend's room)
